pin,product_category,main_category,gender
39195459248978289,Clothing,Skirt,Women
748793875534348738,Clothing,Skirt,Women
595460381989212269,Clothing,Skirt,Women
574209021247426199,Clothing,Skirt,Women
8936899252979474,Clothing,Skirt,Women
743797694719160605,Clothing,Skirt,Women
814307176381396688,Clothing,Skirt,Women
28077197667922656,Clothing,Skirt,Women
659918151716476711,Clothing,Skirt,Women
4292562135787745,Clothing,Skirt,Women
498844096226275369,Clothing,Skirt,Women
237001999130779387,Clothing,Skirt,Women
9499849205573820,Clothing,Skirt,Women
659918151653262257,Clothing,Skirt,Women
14707136274762165,Clothing,Skirt,Women
21110691991173220,Clothing,Skirt,Women
156077943328296228,Clothing,Skirt,Women
274086327313878939,Clothing,Skirt,Women
86975836544495778,Clothing,Skirt,Women
24277285500916349,Clothing,Skirt,Women
315674255141852038,Clothing,Skirt,Women
611504455657328277,Clothing,Skirt,Women
1024076402737998535,Clothing,Skirt,Women
69524387992458459,Clothing,Skirt,Women
613615517992478225,Clothing,Skirt,Women
224617100156817455,Clothing,Skirt,Women
567664728035076424,Clothing,Skirt,Women
429671620706141366,Clothing,Skirt,Women
866520784523649477,Clothing,Skirt,Women
2111131068749914,Clothing,Skirt,Women
385620786853626563,Clothing,Skirt,Women
714313190906263508,Clothing,Skirt,Women
1829656090019651,Clothing,Skirt,Women
16114511156609771,Clothing,Skirt,Women
31173422413332064,Clothing,Skirt,Women
29766047526984121,Clothing,Skirt,Women
314126142768168350,Clothing,Skirt,Women
3870349666031021,Clothing,Skirt,Women
1548181144798752,Clothing,Skirt,Women
320600067229827206,Clothing,Skirt,Women
850547079603912306,Clothing,Skirt,Women
659918151717479778,Clothing,Skirt,Women
18718154691414189,Clothing,Skirt,Women
887138826567817048,Clothing,Skirt,Women
2533343528776147,Clothing,Skirt,Women
1055599903351327,Clothing,Skirt,Women
39828777946184173,Clothing,Skirt,Women
4222193391907465,Clothing,Skirt,Women
11540542787531114,Clothing,Skirt,Women
586734657718856119,Clothing,Skirt,Women
363313894941042044,Clothing,Skirt,Women
45247171248146747,Clothing,Skirt,Women
844493669655690,Clothing,Skirt,Women
23643966785038808,Clothing,Skirt,Women
407153622573777666,Clothing,Skirt,Women
4855512089456505,Clothing,Skirt,Women
310115124348343288,Clothing,Skirt,Women
110830840816229389,Clothing,Skirt,Women
1337074882626729,Clothing,Skirt,Women
950400327586975090,Clothing,Skirt,Women
1024076402737990408,Clothing,Skirt,Women
108016091055068147,Clothing,Skirt,Women
31525266133146107,Clothing,Skirt,Women
301319031296756208,Clothing,Skirt,Women
706713366528091441,Clothing,Skirt,Women
657595983101892225,Clothing,Skirt,Women
31525266133524804,Clothing,Skirt,Women
172473860715744284,Clothing,Skirt,Women
201395414578598347,Clothing,Skirt,Women
3237030972440884,Clothing,Skirt,Women
1196337391571362,Clothing,Skirt,Women
18155204738956696,Clothing,Skirt,Women
351912462050228,Clothing,Skirt,Women
1047298088316273621,Clothing,Skirt,Women
213428469830765871,Clothing,Skirt,Women
571394271485332140,Clothing,Skirt,Women
33143747250876987,Clothing,Skirt,Women
348888302385419794,Clothing,Skirt,Women
580190364478387113,Clothing,Skirt,Women
25332816644386829,Clothing,Skirt,Women
33284484737566648,Clothing,Skirt,Women
4081455900983744,Clothing,Skirt,Women
703756182697239,Clothing,Skirt,Women
210824826295874060,Clothing,Skirt,Women
659918151718250288,Clothing,Skirt,Women
1024076402739334672,Clothing,Skirt,Women
885098132987771968,Clothing,Skirt,Women
748019819373505378,Clothing,Skirt,Women
659918151702289517,Clothing,Skirt,Women
659918151718250282,Clothing,Skirt,Women
211174973791753,Clothing,Skirt,Women
805511083346076330,Clothing,Skirt,Women
683632418432082478,Clothing,Skirt,Women
5066618324836114,Clothing,Skirt,Women
28217935156829536,Clothing,Skirt,Women
24629129203169967,Clothing,Skirt,Women
7318418129142205,Clothing,Skirt,Women
240590805091042448,Clothing,Skirt,Women
850547079603912286,Clothing,Skirt,Women
21110691993528532,Clothing,Skirt,Women
316870523791888499,Clothing,Skirt,Women
586734657720033306,Clothing,Skirt,Women
1146447648864774221,Clothing,Skirt,Women
39969515430649463,Clothing,Skirt,Women
5207355810096912,Clothing,Skirt,Women
1047298088320289140,Clothing,Skirt,Women
15833036180240244,Clothing,Skirt,Women
659918151699931200,Clothing,Skirt,Women
1024076402737178755,Clothing,Skirt,Women
340021840628764967,Clothing,Skirt,Women
1104789352310069969,Clothing,Skirt,Women
1021472759205598980,Clothing,Skirt,Women
586734657720033463,Clothing,Skirt,Women
134263632636016926,Clothing,Skirt,Women
659918151702285219,Clothing,Skirt,Women
764415736764043132,Clothing,Skirt,Women
659918151718250286,Clothing,Skirt,Women
600456562828990544,Clothing,Skirt,Women
7670261857035417,Clothing,Skirt,Women
659918151702289481,Clothing,Skirt,Women
586734657720033471,Clothing,Skirt,Women
1104789352313355414,Clothing,Skirt,Women
814307176387021608,Clothing,Skirt,Women
1024076402737164275,Clothing,Skirt,Women
600175087825288415,Clothing,Skirt,Women
486318459770591777,Clothing,Skirt,Women
16536723622302645,Clothing,Skirt,Women
374924737740183677,Clothing,Skirt,Women
1548181145769991,Clothing,Skirt,Women
22306960645863907,Clothing,Skirt,Women
950400327587034553,Clothing,Skirt,Women
1047298088319717101,Clothing,Skirt,Women
11822017761293218,Clothing,Skirt,Women
26810560274107367,Clothing,Skirt,Women
9007267995757541,Clothing,Skirt,Women
613615517988016073,Clothing,Skirt,Women
1104789352313479312,Clothing,Skirt,Women
56928382784161902,Clothing,Skirt,Women
1024076402737990413,Clothing,Skirt,Women
950400327587018013,Clothing,Skirt,Women
263671753154068599,Clothing,Skirt,Women
68744382560,Clothing,Skirt,Women
463378249151484531,Clothing,Skirt,Women
9499849203793254,Clothing,Skirt,Women
22869910598974631,Clothing,Skirt,Women
586523551485214867,Clothing,Skirt,Women
196610339974975315,Clothing,Skirt,Women
8444318040888663,Clothing,Skirt,Women
1047298088320107235,Clothing,Skirt,Women
492649949541593,Clothing,Skirt,Women
586734657720033469,Clothing,Skirt,Women
6192518226869832,Clothing,Skirt,Women
15058979994499065,Clothing,Skirt,Women
764415736763993460,Clothing,Skirt,Women
1024076402737096367,Clothing,Skirt,Women
275352964706031461,Clothing,Skirt,Women
36521446966031487,Clothing,Skirt,Women
1130685050172646479,Clothing,Skirt,Women
659918151720125083,Clothing,Skirt,Women
844424998882973638,Clothing,Skirt,Women
1147362442539597358,Clothing,Skirt,Women
1021472759206123454,Clothing,Skirt,Women
814307176379841759,Clothing,Skirt,Women
5911043254662874,Clothing,Skirt,Women
774124921278951,Clothing,Skirt,Women
1618549858038855,Clothing,Skirt,Women
380061656064130955,Clothing,Skirt,Women
1055599898988404,Clothing,Skirt,Women
14284923806736291,Clothing,Skirt,Women
1039064945248294463,Clothing,Skirt,Women
365706432222567431,Clothing,Skirt,Women
972144269536205144,Clothing,Skirt,Women
466967055122939235,Clothing,Skirt,Women
217228382001681368,Clothing,Skirt,Women
764415736763057706,Clothing,Skirt,Women
230457705903271166,Clothing,Skirt,Women
139963500912147814,Clothing,Skirt,Women
764415736764041183,Clothing,Skirt,Women
763289836852527703,Clothing,Skirt,Women
1047298088319637493,Clothing,Skirt,Women
225883737551939923,Clothing,Skirt,Women
797770521503532005,Clothing,Skirt,Women
942237553261756759,Clothing,Skirt,Women
586734657720175115,Clothing,Skirt,Women
22799541855235155,Clothing,Skirt,Women
9499849205653924,Clothing,Skirt,Women
586734657718858021,Clothing,Skirt,Women
659918151693659915,Clothing,Skirt,Women
15551561205265351,Clothing,Skirt,Women
468304061263913132,Clothing,Skirt,Women
1047298088319717023,Clothing,Skirt,Women
2392606041836799,Clothing,Skirt,Women
591308626087801065,Clothing,Skirt,Women
854206254335055819,Clothing,Skirt,Women
70439181664289802,Clothing,Skirt,Women
1044624076037753414,Clothing,Skirt,Women
950400327587034195,Clothing,Skirt,Women
856106210427810630,Clothing,Skirt,Women
945333778002908562,Clothing,Skirt,Women
631207704034644386,Clothing,Skirt,Women
39195459248978289,Clothing,Skirt,Women
748793875534348738,Clothing,Skirt,Women
595460381989212269,Clothing,Skirt,Women
574209021247426199,Clothing,Skirt,Women
8936899252979474,Clothing,Skirt,Women
743797694719160605,Clothing,Skirt,Women
814307176381396688,Clothing,Skirt,Women
28077197667922656,Clothing,Skirt,Women
659918151716476711,Clothing,Skirt,Women
4292562135787745,Clothing,Skirt,Women
498844096226275369,Clothing,Skirt,Women
237001999130779387,Clothing,Skirt,Women
9499849205573820,Clothing,Skirt,Women
659918151653262257,Clothing,Skirt,Women
14707136274762165,Clothing,Skirt,Women
21110691991173220,Clothing,Skirt,Women
156077943328296228,Clothing,Skirt,Women
274086327313878939,Clothing,Skirt,Women
86975836544495778,Clothing,Skirt,Women
24277285500916349,Clothing,Skirt,Women
315674255141852038,Clothing,Skirt,Women
611504455657328277,Clothing,Skirt,Women
1024076402737998535,Clothing,Skirt,Women
69524387992458459,Clothing,Skirt,Women
613615517992478225,Clothing,Skirt,Women
224617100156817455,Clothing,Skirt,Women
567664728035076424,Clothing,Skirt,Women
429671620706141366,Clothing,Skirt,Women
866520784523649477,Clothing,Skirt,Women
2111131068749914,Clothing,Skirt,Women
385620786853626563,Clothing,Skirt,Women
714313190906263508,Clothing,Skirt,Women
1829656090019651,Clothing,Skirt,Women
16114511156609771,Clothing,Skirt,Women
31173422413332064,Clothing,Skirt,Women
29766047526984121,Clothing,Skirt,Women
314126142768168350,Clothing,Skirt,Women
3870349666031021,Clothing,Skirt,Women
1548181144798752,Clothing,Skirt,Women
320600067229827206,Clothing,Skirt,Women
850547079603912306,Clothing,Skirt,Women
659918151717479778,Clothing,Skirt,Women
18718154691414189,Clothing,Skirt,Women
887138826567817048,Clothing,Skirt,Women
2533343528776147,Clothing,Skirt,Women
1055599903351327,Clothing,Skirt,Women
39828777946184173,Clothing,Skirt,Women
4222193391907465,Clothing,Skirt,Women
11540542787531114,Clothing,Skirt,Women
586734657718856119,Clothing,Skirt,Women
363313894941042044,Clothing,Skirt,Women
45247171248146747,Clothing,Skirt,Women
844493669655690,Clothing,Skirt,Women
23643966785038808,Clothing,Skirt,Women
407153622573777666,Clothing,Skirt,Women
4855512089456505,Clothing,Skirt,Women
310115124348343288,Clothing,Skirt,Women
110830840816229389,Clothing,Skirt,Women
1337074882626729,Clothing,Skirt,Women
950400327586975090,Clothing,Skirt,Women
1024076402737990408,Clothing,Skirt,Women
108016091055068147,Clothing,Skirt,Women
31525266133146107,Clothing,Skirt,Women
301319031296756208,Clothing,Skirt,Women
706713366528091441,Clothing,Skirt,Women
657595983101892225,Clothing,Skirt,Women
31525266133524804,Clothing,Skirt,Women
172473860715744284,Clothing,Skirt,Women
201395414578598347,Clothing,Skirt,Women
3237030972440884,Clothing,Skirt,Women
1196337391571362,Clothing,Skirt,Women
18155204738956696,Clothing,Skirt,Women
351912462050228,Clothing,Skirt,Women
1047298088316273621,Clothing,Skirt,Women
213428469830765871,Clothing,Skirt,Women
571394271485332140,Clothing,Skirt,Women
33143747250876987,Clothing,Skirt,Women
348888302385419794,Clothing,Skirt,Women
580190364478387113,Clothing,Skirt,Women
25332816644386829,Clothing,Skirt,Women
33284484737566648,Clothing,Skirt,Women
4081455900983744,Clothing,Skirt,Women
703756182697239,Clothing,Skirt,Women
210824826295874060,Clothing,Skirt,Women
659918151718250288,Clothing,Skirt,Women
1024076402739334672,Clothing,Skirt,Women
885098132987771968,Clothing,Skirt,Women
748019819373505378,Clothing,Skirt,Women
659918151702289517,Clothing,Skirt,Women
659918151718250282,Clothing,Skirt,Women
211174973791753,Clothing,Skirt,Women
805511083346076330,Clothing,Skirt,Women
683632418432082478,Clothing,Skirt,Women
5066618324836114,Clothing,Skirt,Women
28217935156829536,Clothing,Skirt,Women
24629129203169967,Clothing,Skirt,Women
7318418129142205,Clothing,Skirt,Women
240590805091042448,Clothing,Skirt,Women
850547079603912286,Clothing,Skirt,Women
21110691993528532,Clothing,Skirt,Women
316870523791888499,Clothing,Skirt,Women
586734657720033306,Clothing,Skirt,Women
1146447648864774221,Clothing,Skirt,Women
39969515430649463,Clothing,Skirt,Women
5207355810096912,Clothing,Skirt,Women
1047298088320289140,Clothing,Skirt,Women
15833036180240244,Clothing,Skirt,Women
659918151699931200,Clothing,Skirt,Women
1024076402737178755,Clothing,Skirt,Women
340021840628764967,Clothing,Skirt,Women
1104789352310069969,Clothing,Skirt,Women
1021472759205598980,Clothing,Skirt,Women
586734657720033463,Clothing,Skirt,Women
134263632636016926,Clothing,Skirt,Women
659918151702285219,Clothing,Skirt,Women
764415736764043132,Clothing,Skirt,Women
659918151718250286,Clothing,Skirt,Women
600456562828990544,Clothing,Skirt,Women
7670261857035417,Clothing,Skirt,Women
659918151702289481,Clothing,Skirt,Women
586734657720033471,Clothing,Skirt,Women
1104789352313355414,Clothing,Skirt,Women
814307176387021608,Clothing,Skirt,Women
1024076402737164275,Clothing,Skirt,Women
600175087825288415,Clothing,Skirt,Women
486318459770591777,Clothing,Skirt,Women
16536723622302645,Clothing,Skirt,Women
374924737740183677,Clothing,Skirt,Women
1548181145769991,Clothing,Skirt,Women
22306960645863907,Clothing,Skirt,Women
950400327587034553,Clothing,Skirt,Women
1047298088319717101,Clothing,Skirt,Women
11822017761293218,Clothing,Skirt,Women
26810560274107367,Clothing,Skirt,Women
9007267995757541,Clothing,Skirt,Women
613615517988016073,Clothing,Skirt,Women
1104789352313479312,Clothing,Skirt,Women
56928382784161902,Clothing,Skirt,Women
1024076402737990413,Clothing,Skirt,Women
950400327587018013,Clothing,Skirt,Women
263671753154068599,Clothing,Skirt,Women
68744382560,Clothing,Skirt,Women
463378249151484531,Clothing,Skirt,Women
9499849203793254,Clothing,Skirt,Women
22869910598974631,Clothing,Skirt,Women
586523551485214867,Clothing,Skirt,Women
196610339974975315,Clothing,Skirt,Women
8444318040888663,Clothing,Skirt,Women
1047298088320107235,Clothing,Skirt,Women
492649949541593,Clothing,Skirt,Women
586734657720033469,Clothing,Skirt,Women
6192518226869832,Clothing,Skirt,Women
15058979994499065,Clothing,Skirt,Women
764415736763993460,Clothing,Skirt,Women
1024076402737096367,Clothing,Skirt,Women
275352964706031461,Clothing,Skirt,Women
36521446966031487,Clothing,Skirt,Women
1130685050172646479,Clothing,Skirt,Women
659918151720125083,Clothing,Skirt,Women
844424998882973638,Clothing,Skirt,Women
1147362442539597358,Clothing,Skirt,Women
1021472759206123454,Clothing,Skirt,Women
814307176379841759,Clothing,Skirt,Women
5911043254662874,Clothing,Skirt,Women
774124921278951,Clothing,Skirt,Women
1618549858038855,Clothing,Skirt,Women
380061656064130955,Clothing,Skirt,Women
1055599898988404,Clothing,Skirt,Women
14284923806736291,Clothing,Skirt,Women
1039064945248294463,Clothing,Skirt,Women
365706432222567431,Clothing,Skirt,Women
972144269536205144,Clothing,Skirt,Women
466967055122939235,Clothing,Skirt,Women
217228382001681368,Clothing,Skirt,Women
764415736763057706,Clothing,Skirt,Women
230457705903271166,Clothing,Skirt,Women
139963500912147814,Clothing,Skirt,Women
764415736764041183,Clothing,Skirt,Women
763289836852527703,Clothing,Skirt,Women
1047298088319637493,Clothing,Skirt,Women
225883737551939923,Clothing,Skirt,Women
797770521503532005,Clothing,Skirt,Women
942237553261756759,Clothing,Skirt,Women
586734657720175115,Clothing,Skirt,Women
22799541855235155,Clothing,Skirt,Women
9499849205653924,Clothing,Skirt,Women
586734657718858021,Clothing,Skirt,Women
659918151693659915,Clothing,Skirt,Women
15551561205265351,Clothing,Skirt,Women
468304061263913132,Clothing,Skirt,Women
1047298088319717023,Clothing,Skirt,Women
2392606041836799,Clothing,Skirt,Women
591308626087801065,Clothing,Skirt,Women
